teamA,teamB,city,home_ground_of,rankTeamA,pointsTeamA,RatingTeamA,rankTeamB,pointsTeamB,RatingTeamB,winner
India,Sri Lanka,Mirpur,none,2,5278,117,5,5811,106,India
Pakistan,Sri Lanka,Mirpur,none,9,3721,87,5,5811,106,Pakistan
Bangladesh,India,Mirpur,Bangladesh,7,3094,96,2,5278,117,Bangladesh
West Indies,Australia,St Vincent,West Indies,8,2471,88,1,4889,129,Australia
India,Pakistan,Mirpur,none,2,5278,117,9,3721,87,India
West Indies,Australia,St Vincent,West Indies,8,2471,88,1,4889,129,West Indies
Bangladesh,Sri Lanka,Mirpur,Bangladesh,7,3094,96,5,5811,106,Bangladesh
West Indies,Australia,St Vincent,West Indies,8,2471,88,1,4889,129,no result
Bangladesh,Pakistan,Mirpur,Bangladesh,7,3094,96,9,3721,87,Pakistan
West Indies,Australia,St Lucia,West Indies,8,2471,88,1,4889,129,West Indies
West Indies,Australia,St Lucia,West Indies,8,2471,88,1,4889,129,Australia
Sri Lanka,Pakistan,NA,Sri Lanka,5,5811,106,9,3721,87,Pakistan
Sri Lanka,Pakistan,NA,Sri Lanka,5,5811,106,9,3721,87,Sri Lanka
Sri Lanka,Pakistan,Colombo,Sri Lanka,5,5811,106,9,3721,87,no result
England,West Indies,Southampton,England,6,3968,98,8,2471,88,England
Sri Lanka,Pakistan,Colombo,Sri Lanka,5,5811,106,9,3721,87,Sri Lanka
Sri Lanka,Pakistan,Colombo,Sri Lanka,5,5811,106,9,3721,87,Sri Lanka
England,West Indies,London,England,6,3968,98,8,2471,88,England
Ireland,Australia,Belfast,Ireland,10,549,50,1,4889,129,no result
England,Australia,London,England,6,3968,98,1,4889,129,England
England,Australia,London,England,6,3968,98,1,4889,129,England
Ireland,Afghanistan,Dublin,Ireland,10,549,50,12,618,41,Ireland
West Indies,New Zealand,Jamaica,West Indies,8,2471,88,3,4284,116,West Indies
England,Australia,Chester-le-Street,England,6,3968,98,1,4889,129,England
West Indies,New Zealand,Jamaica,West Indies,8,2471,88,3,4284,116,West Indies
England,Australia,Manchester,England,6,3968,98,1,4889,129,England
West Indies,New Zealand,St Kitts,West Indies,8,2471,88,3,4284,116,New Zealand
West Indies,New Zealand,St Kitts,West Indies,8,2471,88,3,4284,116,West Indies
West Indies,New Zealand,St Kitts,West Indies,8,2471,88,3,4284,116,West Indies
Sri Lanka,India,Hambantota,Sri Lanka,5,5811,106,2,5278,117,India
Sri Lanka,India,Hambantota,Sri Lanka,5,5811,106,2,5278,117,Sri Lanka
Sri Lanka,India,Colombo,Sri Lanka,5,5811,106,2,5278,117,India
Sri Lanka,India,Colombo,Sri Lanka,5,5811,106,2,5278,117,India
Sri Lanka,India,NA,Sri Lanka,5,5811,106,2,5278,117,India
England,South Africa,Cardiff,England,6,3968,98,4,5131,112,no result
Afghanistan,Australia,NA,none,12,618,41,1,4889,129,Australia
Australia,Pakistan,NA,none,1,4889,129,9,3721,87,Australia
England,South Africa,Southampton,England,6,3968,98,4,5131,112,South Africa
Australia,Pakistan,Abu Dhabi,none,1,4889,129,9,3721,87,Pakistan
England,South Africa,London,England,6,3968,98,4,5131,112,England
England,South Africa,London,England,6,3968,98,4,5131,112,England
Australia,Pakistan,NA,none,1,4889,129,9,3721,87,Australia
England,South Africa,Nottingham,England,6,3968,98,4,5131,112,South Africa
Sri Lanka,New Zealand,NA,Sri Lanka,5,5811,106,3,4284,116,Sri Lanka
Sri Lanka,New Zealand,NA,Sri Lanka,5,5811,106,3,4284,116,Sri Lanka
Sri Lanka,New Zealand,Hambantota,Sri Lanka,5,5811,106,3,4284,116,Sri Lanka
Sri Lanka,New Zealand,Hambantota,Sri Lanka,5,5811,106,3,4284,116,no result
Bangladesh,West Indies,Khulna,Bangladesh,7,3094,96,8,2471,88,Bangladesh
Bangladesh,West Indies,Khulna,Bangladesh,7,3094,96,8,2471,88,Bangladesh
Bangladesh,West Indies,Mirpur,Bangladesh,7,3094,96,8,2471,88,West Indies
Bangladesh,West Indies,Mirpur,Bangladesh,7,3094,96,8,2471,88,West Indies
Bangladesh,West Indies,Mirpur,Bangladesh,7,3094,96,8,2471,88,Bangladesh
India,Pakistan,Chennai,India,2,5278,117,9,3721,87,Pakistan
India,Pakistan,Kolkata,India,2,5278,117,9,3721,87,Pakistan
India,Pakistan,Delhi,India,2,5278,117,9,3721,87,India
Australia,Sri Lanka,NA,Australia,1,4889,129,5,5811,106,Australia
India,England,Rajkot,India,2,5278,117,6,3968,98,England
Australia,Sri Lanka,NA,Australia,1,4889,129,5,5811,106,Sri Lanka
India,England,Kochi,India,2,5278,117,6,3968,98,India
Australia,Sri Lanka,Brisbane,Australia,1,4889,129,5,5811,106,Sri Lanka
India,England,Ranchi,India,2,5278,117,6,3968,98,India
South Africa,New Zealand,Paarl,South Africa,4,5131,112,3,4284,116,New Zealand
Australia,Sri Lanka,NA,Australia,1,4889,129,5,5811,106,no result
South Africa,New Zealand,Kimberley,South Africa,4,5131,112,3,4284,116,New Zealand
Australia,Sri Lanka,Hobart,Australia,1,4889,129,5,5811,106,Australia
India,England,Chandigarh,India,2,5278,117,6,3968,98,India
South Africa,New Zealand,Potchefstroom,South Africa,4,5131,112,3,4284,116,South Africa
India,England,Dharamsala,India,2,5278,117,6,3968,98,England
Australia,West Indies,Perth,Australia,1,4889,129,8,2471,88,Australia
Australia,West Indies,Perth,Australia,1,4889,129,8,2471,88,Australia
Australia,West Indies,Canberra,Australia,1,4889,129,8,2471,88,Australia
Australia,West Indies,NA,Australia,1,4889,129,8,2471,88,Australia
Australia,West Indies,NA,Australia,1,4889,129,8,2471,88,Australia
New Zealand,England,Hamilton,none,3,4284,116,6,3968,98,New Zealand
New Zealand,England,Napier,New Zealand,3,4284,116,6,3968,98,England
West Indies,Zimbabwe,Grenada,West Indies,8,2471,88,11,1250,45,West Indies
New Zealand,England,Auckland,New Zealand,3,4284,116,6,3968,98,England
West Indies,Zimbabwe,Grenada,West Indies,8,2471,88,11,1250,45,West Indies
South Africa,Pakistan,Bloemfontein,South Africa,4,5131,112,9,3721,87,South Africa
South Africa,Pakistan,Centurion,South Africa,4,5131,112,9,3721,87,Pakistan
South Africa,Pakistan,Johannesburg,South Africa,4,5131,112,9,3721,87,South Africa
South Africa,Pakistan,Durban,South Africa,4,5131,112,9,3721,87,Pakistan
Sri Lanka,Bangladesh,Hambantota,Sri Lanka,5,5811,106,7,3094,96,Sri Lanka
South Africa,Pakistan,Benoni,South Africa,4,5131,112,9,3721,87,South Africa
Sri Lanka,Bangladesh,Hambantota,Sri Lanka,5,5811,106,7,3094,96,no result
Sri Lanka,Bangladesh,NA,Sri Lanka,5,5811,106,7,3094,96,Bangladesh
Zimbabwe,Bangladesh,Bulawayo,Zimbabwe,11,1250,45,7,3094,96,Bangladesh
Zimbabwe,Bangladesh,Bulawayo,Zimbabwe,11,1250,45,7,3094,96,Zimbabwe
Zimbabwe,Bangladesh,Bulawayo,Zimbabwe,11,1250,45,7,3094,96,Zimbabwe
Scotland,Pakistan,Edinburgh,Scotland,14,200,25,9,3721,87,Pakistan
Ireland,Pakistan,Dublin,Ireland,10,549,50,9,3721,87,no result
Ireland,Pakistan,Dublin,Ireland,10,549,50,9,3721,87,Pakistan
England,New Zealand,London,England,6,3968,98,3,4284,116,New Zealand
England,New Zealand,Southampton,England,6,3968,98,3,4284,116,New Zealand
England,New Zealand,Nottingham,England,6,3968,98,3,4284,116,England
India,South Africa,Cardiff,none,2,5278,117,4,5131,112,India
Pakistan,West Indies,London,none,9,3721,87,8,2471,88,West Indies
England,Australia,Birmingham,England,6,3968,98,1,4889,129,England
New Zealand,Sri Lanka,Cardiff,none,3,4284,116,5,5811,106,New Zealand
Pakistan,South Africa,Birmingham,none,9,3721,87,4,5131,112,South Africa
India,West Indies,London,none,2,5278,117,8,2471,88,India
Australia,New Zealand,Birmingham,none,1,4889,129,3,4284,116,no result
England,Sri Lanka,London,England,6,3968,98,5,5811,106,Sri Lanka
South Africa,West Indies,Cardiff,none,4,5131,112,8,2471,88,no result
India,Pakistan,Birmingham,none,2,5278,117,9,3721,87,India
England,New Zealand,Cardiff,England,6,3968,98,3,4284,116,England
Australia,Sri Lanka,London,none,1,4889,129,5,5811,106,Sri Lanka
England,South Africa,London,England,6,3968,98,4,5131,112,England
India,Sri Lanka,Cardiff,none,2,5278,117,5,5811,106,India
England,India,Birmingham,England,6,3968,98,2,5278,117,India
West Indies,Sri Lanka,Jamaica,West Indies,8,2471,88,5,5811,106,West Indies
West Indies,India,Jamaica,West Indies,8,2471,88,2,5278,117,West Indies
India,Sri Lanka,Jamaica,none,2,5278,117,5,5811,106,Sri Lanka
West Indies,India,Trinidad,West Indies,8,2471,88,2,5278,117,India
West Indies,Sri Lanka,Trinidad,West Indies,8,2471,88,5,5811,106,Sri Lanka
India,Sri Lanka,Trinidad,none,2,5278,117,5,5811,106,India
India,Sri Lanka,Trinidad,none,2,5278,117,5,5811,106,India
West Indies,Pakistan,Guyana,West Indies,8,2471,88,9,3721,87,Pakistan
West Indies,Pakistan,Guyana,West Indies,8,2471,88,9,3721,87,West Indies
West Indies,Pakistan,St Lucia,West Indies,8,2471,88,9,3721,87,no result
Sri Lanka,South Africa,Colombo,Sri Lanka,5,5811,106,4,5131,112,Sri Lanka
West Indies,Pakistan,St Lucia,West Indies,8,2471,88,9,3721,87,Pakistan
Sri Lanka,South Africa,Colombo,Sri Lanka,5,5811,106,4,5131,112,Sri Lanka
West Indies,Pakistan,St Lucia,West Indies,8,2471,88,9,3721,87,Pakistan
Zimbabwe,India,NA,Zimbabwe,11,1250,45,2,5278,117,India
Sri Lanka,South Africa,NA,Sri Lanka,5,5811,106,4,5131,112,South Africa
Zimbabwe,India,NA,Zimbabwe,11,1250,45,2,5278,117,India
Sri Lanka,South Africa,NA,Sri Lanka,5,5811,106,4,5131,112,Sri Lanka
Zimbabwe,India,NA,Zimbabwe,11,1250,45,2,5278,117,India
Sri Lanka,South Africa,Colombo,Sri Lanka,5,5811,106,4,5131,112,Sri Lanka
Zimbabwe,India,Bulawayo,Zimbabwe,11,1250,45,2,5278,117,India
Zimbabwe,India,Bulawayo,Zimbabwe,11,1250,45,2,5278,117,India
Zimbabwe,Pakistan,NA,Zimbabwe,11,1250,45,9,3721,87,Zimbabwe
Zimbabwe,Pakistan,NA,Zimbabwe,11,1250,45,9,3721,87,Pakistan
Zimbabwe,Pakistan,NA,Zimbabwe,11,1250,45,9,3721,87,Pakistan
Ireland,England,Dublin,Ireland,10,549,50,6,3968,98,England
Ireland,Scotland,Belfast,Ireland,10,549,50,14,200,25,Ireland
England,Australia,Manchester,England,6,3968,98,1,4889,129,Australia
England,Australia,Birmingham,England,6,3968,98,1,4889,129,no result
England,Australia,Cardiff,England,6,3968,98,1,4889,129,England
England,Australia,Southampton,England,6,3968,98,1,4889,129,Australia
India,Australia,Pune,India,2,5278,117,1,4889,129,Australia
India,Australia,Jaipur,India,2,5278,117,1,4889,129,India
India,Australia,Chandigarh,India,2,5278,117,1,4889,129,Australia
India,Australia,Ranchi,India,2,5278,117,1,4889,129,no result
Bangladesh,New Zealand,Mirpur,Bangladesh,7,3094,96,3,4284,116,Bangladesh
India,Australia,Nagpur,India,2,5278,117,1,4889,129,India
Pakistan,South Africa,NA,none,9,3721,87,4,5131,112,South Africa
Bangladesh,New Zealand,Mirpur,Bangladesh,7,3094,96,3,4284,116,Bangladesh
Pakistan,South Africa,NA,none,9,3721,87,4,5131,112,Pakistan
India,Australia,Bangalore,India,2,5278,117,1,4889,129,India
Bangladesh,New Zealand,Fatullah,Bangladesh,7,3094,96,3,4284,116,Bangladesh
Pakistan,South Africa,Abu Dhabi,none,9,3721,87,4,5131,112,South Africa
Pakistan,South Africa,Abu Dhabi,none,9,3721,87,4,5131,112,South Africa
Sri Lanka,New Zealand,Hambantota,Sri Lanka,5,5811,106,3,4284,116,no result
Pakistan,South Africa,NA,none,9,3721,87,4,5131,112,South Africa
Sri Lanka,New Zealand,Hambantota,Sri Lanka,5,5811,106,3,4284,116,New Zealand
Sri Lanka,New Zealand,NA,Sri Lanka,5,5811,106,3,4284,116,Sri Lanka
India,West Indies,Kochi,India,2,5278,117,8,2471,88,India
India,West Indies,Visakhapatnam,India,2,5278,117,8,2471,88,West Indies
South Africa,Pakistan,Cape Town,South Africa,4,5131,112,9,3721,87,Pakistan
India,West Indies,Kanpur,India,2,5278,117,8,2471,88,India
South Africa,Pakistan,Port Elizabeth,South Africa,4,5131,112,9,3721,87,Pakistan
South Africa,Pakistan,Centurion,South Africa,4,5131,112,9,3721,87,South Africa
South Africa,India,Johannesburg,South Africa,4,5131,112,2,5278,117,South Africa
South Africa,India,Durban,South Africa,4,5131,112,2,5278,117,South Africa
South Africa,India,Centurion,South Africa,4,5131,112,2,5278,117,no result
Pakistan,Sri Lanka,NA,none,9,3721,87,5,5811,106,Pakistan
Pakistan,Sri Lanka,NA,none,9,3721,87,5,5811,106,Sri Lanka
Pakistan,Sri Lanka,NA,none,9,3721,87,5,5811,106,Pakistan
Pakistan,Sri Lanka,Abu Dhabi,none,9,3721,87,5,5811,106,Pakistan
New Zealand,West Indies,Auckland,New Zealand,3,4284,116,8,2471,88,West Indies
Pakistan,Sri Lanka,Abu Dhabi,none,9,3721,87,5,5811,106,Sri Lanka
New Zealand,West Indies,NA,New Zealand,3,4284,116,8,2471,88,New Zealand
New Zealand,West Indies,Nelson,New Zealand,3,4284,116,8,2471,88,New Zealand
New Zealand,West Indies,Hamilton,none,3,4284,116,8,2471,88,West Indies
Australia,England,NA,Australia,1,4889,129,6,3968,98,Australia
Australia,England,Brisbane,Australia,1,4889,129,6,3968,98,Australia
Australia,England,NA,Australia,1,4889,129,6,3968,98,Australia
New Zealand,India,Napier,New Zealand,3,4284,116,2,5278,117,New Zealand
New Zealand,India,Hamilton,none,3,4284,116,2,5278,117,New Zealand
Australia,England,Perth,Australia,1,4889,129,6,3968,98,England
New Zealand,India,Auckland,New Zealand,3,4284,116,2,5278,117,no result
Australia,England,NA,Australia,1,4889,129,6,3968,98,Australia
New Zealand,India,Hamilton,none,3,4284,116,2,5278,117,New Zealand
New Zealand,India,Wellington,New Zealand,3,4284,116,2,5278,117,New Zealand
Bangladesh,Sri Lanka,Mirpur,Bangladesh,7,3094,96,5,5811,106,Sri Lanka
Bangladesh,Sri Lanka,Mirpur,Bangladesh,7,3094,96,5,5811,106,Sri Lanka
Bangladesh,Sri Lanka,Mirpur,Bangladesh,7,3094,96,5,5811,106,Sri Lanka
West Indies,Ireland,Jamaica,West Indies,8,2471,88,10,549,50,West Indies
Pakistan,Sri Lanka,Fatullah,none,9,3721,87,5,5811,106,Sri Lanka
Bangladesh,India,Fatullah,Bangladesh,7,3094,96,2,5278,117,India
Afghanistan,Pakistan,Fatullah,none,12,618,41,9,3721,87,Pakistan
India,Sri Lanka,Fatullah,none,2,5278,117,5,5811,106,Sri Lanka
West Indies,England,Antigua,West Indies,8,2471,88,6,3968,98,West Indies
Bangladesh,Afghanistan,Fatullah,Bangladesh,7,3094,96,12,618,41,Afghanistan
India,Pakistan,Mirpur,none,2,5278,117,9,3721,87,Pakistan
West Indies,England,Antigua,West Indies,8,2471,88,6,3968,98,England
Afghanistan,Sri Lanka,Mirpur,none,12,618,41,5,5811,106,Sri Lanka
Bangladesh,Pakistan,Mirpur,Bangladesh,7,3094,96,9,3721,87,Pakistan
Afghanistan,India,Mirpur,none,12,618,41,2,5278,117,India
West Indies,England,Antigua,West Indies,8,2471,88,6,3968,98,England
Bangladesh,Sri Lanka,Mirpur,Bangladesh,7,3094,96,5,5811,106,Sri Lanka
Pakistan,Sri Lanka,Mirpur,none,9,3721,87,5,5811,106,Sri Lanka
Afghanistan,United Arab Emirates,Kuala Lumpur,none,12,618,41,13,300,32,Afghanistan
Ireland,Sri Lanka,Dublin,Ireland,10,549,50,5,5811,106,Sri Lanka
Scotland,England,Aberdeen,Scotland,14,200,25,6,3968,98,England
England,Sri Lanka,London,England,6,3968,98,5,5811,106,England
England,Sri Lanka,Chester-le-Street,England,6,3968,98,5,5811,106,Sri Lanka
England,Sri Lanka,Manchester,England,6,3968,98,5,5811,106,England
England,Sri Lanka,London,England,6,3968,98,5,5811,106,Sri Lanka
England,Sri Lanka,Birmingham,England,6,3968,98,5,5811,106,Sri Lanka
Bangladesh,India,Mirpur,Bangladesh,7,3094,96,2,5278,117,India
Bangladesh,India,Mirpur,Bangladesh,7,3094,96,2,5278,117,India
Bangladesh,India,Mirpur,Bangladesh,7,3094,96,2,5278,117,no result
Sri Lanka,South Africa,Colombo,Sri Lanka,5,5811,106,4,5131,112,South Africa
Sri Lanka,South Africa,NA,Sri Lanka,5,5811,106,4,5131,112,Sri Lanka
Sri Lanka,South Africa,Hambantota,Sri Lanka,5,5811,106,4,5131,112,South Africa
Zimbabwe,Afghanistan,Bulawayo,Zimbabwe,11,1250,45,12,618,41,Zimbabwe
Zimbabwe,Afghanistan,Bulawayo,Zimbabwe,11,1250,45,12,618,41,Afghanistan
Zimbabwe,Afghanistan,Bulawayo,Zimbabwe,11,1250,45,12,618,41,Afghanistan
Zimbabwe,South Africa,Bulawayo,Zimbabwe,11,1250,45,4,5131,112,South Africa
Zimbabwe,South Africa,Bulawayo,Zimbabwe,11,1250,45,4,5131,112,South Africa
West Indies,Bangladesh,Grenada,West Indies,8,2471,88,7,3094,96,West Indies
Zimbabwe,South Africa,Bulawayo,Zimbabwe,11,1250,45,4,5131,112,South Africa
West Indies,Bangladesh,Grenada,West Indies,8,2471,88,7,3094,96,West Indies
Sri Lanka,Pakistan,Hambantota,Sri Lanka,5,5811,106,9,3721,87,Pakistan
West Indies,Bangladesh,St Kitts,West Indies,8,2471,88,7,3094,96,West Indies
Zimbabwe,Australia,NA,Zimbabwe,11,1250,45,1,4889,129,Australia
Sri Lanka,Pakistan,Hambantota,Sri Lanka,5,5811,106,9,3721,87,Sri Lanka
Australia,South Africa,NA,none,1,4889,129,4,5131,112,South Africa
England,India,Cardiff,England,6,3968,98,2,5278,117,India
Zimbabwe,South Africa,NA,Zimbabwe,11,1250,45,4,5131,112,South Africa
England,India,Nottingham,England,6,3968,98,2,5278,117,India
Sri Lanka,Pakistan,NA,Sri Lanka,5,5811,106,9,3721,87,Sri Lanka
Zimbabwe,Australia,NA,Zimbabwe,11,1250,45,1,4889,129,Zimbabwe
Australia,South Africa,NA,none,1,4889,129,4,5131,112,Australia
England,India,Birmingham,England,6,3968,98,2,5278,117,India
Zimbabwe,South Africa,NA,Zimbabwe,11,1250,45,4,5131,112,South Africa
England,India,Leeds,England,6,3968,98,2,5278,117,England
Australia,South Africa,NA,none,1,4889,129,4,5131,112,South Africa
Ireland,Scotland,Dublin,Ireland,10,549,50,14,200,25,Ireland
Ireland,Scotland,Dublin,Ireland,10,549,50,14,200,25,Ireland
Ireland,Scotland,Dublin,Ireland,10,549,50,14,200,25,Scotland
Australia,Pakistan,NA,none,1,4889,129,9,3721,87,Australia
India,West Indies,Kochi,India,2,5278,117,8,2471,88,West Indies
Australia,Pakistan,NA,none,1,4889,129,9,3721,87,Australia
India,West Indies,Delhi,India,2,5278,117,8,2471,88,India
Australia,Pakistan,Abu Dhabi,none,1,4889,129,9,3721,87,Australia
India,West Indies,Dharmasala,India,2,5278,117,8,2471,88,India
New Zealand,South Africa,Mount Maunganui,New Zealand,3,4284,116,4,5131,112,South Africa
New Zealand,South Africa,Mount Maunganui,New Zealand,3,4284,116,4,5131,112,South Africa
New Zealand,South Africa,Hamilton,none,3,4284,116,4,5131,112,no result
India,Sri Lanka,Cuttack,India,2,5278,117,5,5811,106,India
India,Sri Lanka,Ahmedabad,India,2,5278,117,5,5811,106,India
India,Sri Lanka,Hyderabad,India,2,5278,117,5,5811,106,India
India,Sri Lanka,Kolkata,India,2,5278,117,5,5811,106,India
Australia,South Africa,Perth,Australia,1,4889,129,4,5131,112,Australia
Australia,South Africa,Perth,Australia,1,4889,129,4,5131,112,South Africa
India,Sri Lanka,Ranchi,India,2,5278,117,5,5811,106,India
Australia,South Africa,Canberra,Australia,1,4889,129,4,5131,112,Australia
Australia,South Africa,NA,Australia,1,4889,129,4,5131,112,Australia
Bangladesh,Zimbabwe,Chittagong,Bangladesh,7,3094,96,11,1250,45,Bangladesh
Australia,South Africa,NA,Australia,1,4889,129,4,5131,112,Australia
Bangladesh,Zimbabwe,Chittagong,Bangladesh,7,3094,96,11,1250,45,Bangladesh
Bangladesh,Zimbabwe,Mirpur,Bangladesh,7,3094,96,11,1250,45,Bangladesh
Sri Lanka,England,Colombo,Sri Lanka,5,5811,106,6,3968,98,Sri Lanka
Bangladesh,Zimbabwe,Mirpur,Bangladesh,7,3094,96,11,1250,45,Bangladesh
United Arab Emirates,Afghanistan,Dubai,United Arab Emirates,13,300,32,12,618,41,United Arab Emirates
Sri Lanka,England,Colombo,Sri Lanka,5,5811,106,6,3968,98,Sri Lanka
United Arab Emirates,Afghanistan,Dubai,United Arab Emirates,13,300,32,12,618,41,United Arab Emirates
Bangladesh,Zimbabwe,Mirpur,Bangladesh,7,3094,96,11,1250,45,Bangladesh
Sri Lanka,England,Hambantota,Sri Lanka,5,5811,106,6,3968,98,England
Sri Lanka,England,Colombo,Sri Lanka,5,5811,106,6,3968,98,Sri Lanka
New Zealand,Pakistan,NA,none,3,4284,116,9,3721,87,Pakistan
Sri Lanka,England,NA,Sri Lanka,5,5811,106,6,3968,98,England
New Zealand,Pakistan,NA,none,3,4284,116,9,3721,87,New Zealand
Sri Lanka,England,NA,Sri Lanka,5,5811,106,6,3968,98,Sri Lanka
New Zealand,Pakistan,NA,none,3,4284,116,9,3721,87,Pakistan
Sri Lanka,England,Colombo,Sri Lanka,5,5811,106,6,3968,98,Sri Lanka
New Zealand,Pakistan,Abu Dhabi,none,3,4284,116,9,3721,87,New Zealand
New Zealand,Pakistan,Abu Dhabi,none,3,4284,116,9,3721,87,New Zealand
Afghanistan,Scotland,Dubai,none,12,618,41,14,200,25,Afghanistan
New Zealand,Sri Lanka,Christchurch,New Zealand,3,4284,116,5,5811,106,New Zealand
Ireland,Scotland,NA,none,10,549,50,14,200,25,Ireland
Afghanistan,Scotland,Abu Dhabi,none,12,618,41,14,200,25,Scotland
New Zealand,Sri Lanka,Hamilton,none,3,4284,116,5,5811,106,Sri Lanka
Australia,England,NA,Australia,1,4889,129,6,3968,98,Australia
South Africa,West Indies,Durban,South Africa,4,5131,112,8,2471,88,South Africa
Afghanistan,Ireland,NA,none,12,618,41,10,549,50,Afghanistan
New Zealand,Sri Lanka,Auckland,New Zealand,3,4284,116,5,5811,106,no result
Australia,India,NA,Australia,1,4889,129,2,5278,117,Australia
South Africa,West Indies,Johannesburg,South Africa,4,5131,112,8,2471,88,South Africa
England,India,Brisbane,none,6,3968,98,2,5278,117,England
New Zealand,Sri Lanka,Nelson,New Zealand,3,4284,116,5,5811,106,New Zealand
South Africa,West Indies,East London,South Africa,4,5131,112,8,2471,88,South Africa
Australia,England,Hobart,Australia,1,4889,129,6,3968,98,Australia
New Zealand,Sri Lanka,Dunedin,New Zealand,3,4284,116,5,5811,106,New Zealand
New Zealand,Sri Lanka,Dunedin,New Zealand,3,4284,116,5,5811,106,New Zealand
South Africa,West Indies,Port Elizabeth,South Africa,4,5131,112,8,2471,88,West Indies
Australia,India,NA,Australia,1,4889,129,2,5278,117,no result
South Africa,West Indies,Centurion,South Africa,4,5131,112,8,2471,88,South Africa
New Zealand,Sri Lanka,Wellington,New Zealand,3,4284,116,5,5811,106,Sri Lanka
England,India,Perth,none,6,3968,98,2,5278,117,England
New Zealand,Pakistan,Wellington,New Zealand,3,4284,116,9,3721,87,New Zealand
Australia,England,Perth,Australia,1,4889,129,6,3968,98,Australia
New Zealand,Pakistan,Napier,New Zealand,3,4284,116,9,3721,87,New Zealand
Australia,England,NA,Australia,1,4889,129,6,3968,98,Australia
New Zealand,Sri Lanka,Christchurch,New Zealand,3,4284,116,5,5811,106,New Zealand
India,Pakistan,NA,none,2,5278,117,9,3721,87,India
South Africa,Zimbabwe,Hamilton,none,4,5131,112,11,1250,45,South Africa
Ireland,West Indies,Nelson,none,10,549,50,8,2471,88,Ireland
New Zealand,Scotland,Dunedin,New Zealand,3,4284,116,14,200,25,New Zealand
Afghanistan,Bangladesh,Canberra,none,12,618,41,7,3094,96,Bangladesh
United Arab Emirates,Zimbabwe,Nelson,none,13,300,32,11,1250,45,Zimbabwe
New Zealand,England,Wellington,New Zealand,3,4284,116,6,3968,98,New Zealand
Pakistan,West Indies,Christchurch,none,9,3721,87,8,2471,88,West Indies
Afghanistan,Sri Lanka,Dunedin,none,12,618,41,5,5811,106,Sri Lanka
India,South Africa,NA,none,2,5278,117,4,5131,112,India
England,Scotland,Christchurch,none,6,3968,98,14,200,25,England
West Indies,Zimbabwe,Canberra,none,8,2471,88,11,1250,45,West Indies
Ireland,United Arab Emirates,Brisbane,none,10,549,50,13,300,32,Ireland
Afghanistan,Scotland,Dunedin,none,12,618,41,14,200,25,Afghanistan
Bangladesh,Sri Lanka,NA,none,7,3094,96,5,5811,106,Sri Lanka
South Africa,West Indies,NA,none,4,5131,112,8,2471,88,South Africa
India,United Arab Emirates,Perth,none,2,5278,117,13,300,32,India
New Zealand,Australia,Auckland,New Zealand,3,4284,116,1,4889,129,New Zealand
England,Sri Lanka,Wellington,none,6,3968,98,5,5811,106,Sri Lanka
Pakistan,Zimbabwe,Brisbane,none,9,3721,87,11,1250,45,Pakistan
Ireland,South Africa,Canberra,none,10,549,50,4,5131,112,South Africa
Australia,Afghanistan,Perth,Australia,1,4889,129,12,618,41,Australia
Pakistan,United Arab Emirates,Napier,none,9,3721,87,13,300,32,Pakistan
Bangladesh,Scotland,Nelson,none,7,3094,96,14,200,25,Bangladesh
India,West Indies,Perth,none,2,5278,117,8,2471,88,India
Ireland,Zimbabwe,Hobart,none,10,549,50,11,1250,45,Ireland
Pakistan,South Africa,Auckland,none,9,3721,87,4,5131,112,Pakistan
Australia,Sri Lanka,NA,Australia,1,4889,129,5,5811,106,Australia
New Zealand,Afghanistan,Napier,New Zealand,3,4284,116,12,618,41,New Zealand
Bangladesh,England,NA,none,7,3094,96,6,3968,98,Bangladesh
India,Ireland,Hamilton,none,2,5278,117,10,549,50,India
Scotland,Sri Lanka,Hobart,none,14,200,25,5,5811,106,Sri Lanka
South Africa,United Arab Emirates,Wellington,none,4,5131,112,13,300,32,South Africa
Afghanistan,England,NA,none,12,618,41,6,3968,98,England
New Zealand,Bangladesh,Hamilton,none,3,4284,116,7,3094,96,New Zealand
Australia,Scotland,Hobart,Australia,1,4889,129,14,200,25,Australia
India,Zimbabwe,Auckland,none,2,5278,117,11,1250,45,India
Ireland,Pakistan,NA,none,10,549,50,9,3721,87,Pakistan
United Arab Emirates,West Indies,Napier,none,13,300,32,8,2471,88,West Indies
South Africa,Sri Lanka,NA,none,4,5131,112,5,5811,106,South Africa
Bangladesh,India,NA,none,7,3094,96,2,5278,117,India
Australia,Pakistan,NA,Australia,1,4889,129,9,3721,87,Australia
New Zealand,West Indies,Wellington,New Zealand,3,4284,116,8,2471,88,New Zealand
New Zealand,South Africa,Auckland,New Zealand,3,4284,116,4,5131,112,New Zealand
Australia,India,NA,Australia,1,4889,129,2,5278,117,Australia
Australia,New Zealand,NA,Australia,1,4889,129,3,4284,116,Australia
Bangladesh,Pakistan,Mirpur,Bangladesh,7,3094,96,9,3721,87,Bangladesh
Bangladesh,Pakistan,Mirpur,Bangladesh,7,3094,96,9,3721,87,Bangladesh
Bangladesh,Pakistan,Mirpur,Bangladesh,7,3094,96,9,3721,87,Bangladesh
Ireland,England,Dublin,Ireland,10,549,50,6,3968,98,no result
